time,Scope
0,0
0.01,0
0.02,0.0627905
0.03,0.125333
0.04,0.187381
0.05,0.24869
0.06,0.309017
0.07,0.368125
0.08,0.425779
0.09,0.481754
0.1,0.535827
0.11,0.587785
0.12,0.637424
0.13,0.684547
0.14,0.728969
0.15,0.770513
0.16,0.809017
0.17,0.844328
0.18,0.876307
0.19,0.904827
0.2,0.929776
0.21,0.951057
0.22,0.968583
0.23,0.982287
0.24,0.992115
0.25,0.998027
0.26,1
0.27,0.998027
0.28,0.992115
0.29,0.982287
0.3,0.968583
0.31,0.951057
0.32,0.929776
0.33,0.904827
0.34,0.876307
0.35,0.844328
0.36,0.809017
0.37,0.770513
0.38,0.728969
0.39,0.684547
0.4,0.637424
0.41,0.587785
0.42,0.535827
0.43,0.481754
0.44,0.425779
0.45,0.368125
0.46,0.309017
0.47,0.24869
0.48,0.187381
0.49,0.125333
0.5,0.0627905
0.51,-1.2098e-15
0.52,-0.0627905
0.53,-0.125333
0.54,-0.187381
0.55,-0.24869
0.56,-0.309017
0.57,-0.368125
0.58,-0.425779
0.59,-0.481754
0.6,-0.535827
0.61,-0.587785
0.62,-0.637424
0.63,-0.684547
0.64,-0.728969
0.65,-0.770513
0.66,-0.809017
0.67,-0.844328
0.68,-0.876307
0.69,-0.904827
0.7,-0.929776
0.71,-0.951057
0.72,-0.968583
0.73,-0.982287
0.74,-0.992115
0.75,-0.998027
0.76,-1
0.77,-0.998027
0.78,-0.992115
0.79,-0.982287
0.8,-0.968583
0.81,-0.951057
0.82,-0.929776
0.83,-0.904827
0.84,-0.876307
0.85,-0.844328
0.86,-0.809017
0.87,-0.770513
0.88,-0.728969
0.89,-0.684547
0.9,-0.637424
0.91,-0.587785
0.92,-0.535827
0.93,-0.481754
0.94,-0.425779
0.95,-0.368125
0.96,-0.309017
0.97,-0.24869
0.98,-0.187381
0.99,-0.125333
1,-0.0627905
1.01,4.19596e-15
1.02,0.0627905
1.03,0.125333
1.04,0.187381
1.05,0.24869
1.06,0.309017
1.07,0.368125
1.08,0.425779
1.09,0.481754
1.1,0.535827
1.11,0.587785
1.12,0.637424
1.13,0.684547
1.14,0.728969
1.15,0.770513
1.16,0.809017
1.17,0.844328
1.18,0.876307
1.19,0.904827
1.2,0.929776
1.21,0.951057
1.22,0.968583
1.23,0.982287
1.24,0.992115
1.25,0.998027
1.26,1
1.27,0.998027
1.28,0.992115
1.29,0.982287
1.3,0.968583
1.31,0.951057
1.32,0.929776
1.33,0.904827
1.34,0.876307
1.35,0.844328
1.36,0.809017
1.37,0.770513
1.38,0.728969
1.39,0.684547
1.4,0.637424
1.41,0.587785
1.42,0.535827
1.43,0.481754
1.44,0.425779
1.45,0.368125
1.46,0.309017
1.47,0.24869
1.48,0.187381
1.49,0.125333
1.5,0.0627905
1.51,-6.73803e-15
1.52,-0.0627905
1.53,-0.125333
1.54,-0.187381
1.55,-0.24869
1.56,-0.309017
1.57,-0.368125
1.58,-0.425779
1.59,-0.481754
1.6,-0.535827
1.61,-0.587785
1.62,-0.637424
1.63,-0.684547
1.64,-0.728969
1.65,-0.770513
1.66,-0.809017
1.67,-0.844328
1.68,-0.876307
1.69,-0.904827
1.7,-0.929776
1.71,-0.951057
1.72,-0.968583
1.73,-0.982287
1.74,-0.992115
1.75,-0.998027
1.76,-1
1.77,-0.998027
1.78,-0.992115
1.79,-0.982287
1.8,-0.968583
1.81,-0.951057
1.82,-0.929776
1.83,-0.904827
1.84,-0.876307
1.85,-0.844328
1.86,-0.809017
1.87,-0.770513
1.88,-0.728969
1.89,-0.684547
1.9,-0.637424
1.91,-0.587785
1.92,-0.535827
1.93,-0.481754
1.94,-0.425779
1.95,-0.368125
1.96,-0.309017
1.97,-0.24869
1.98,-0.187381
1.99,-0.125333
2,-0.0627905
2.01,8.39193e-15
2.02,0.0627905
2.03,0.125333
2.04,0.187381
2.05,0.24869
2.06,0.309017
2.07,0.368125
2.08,0.425779
2.09,0.481754
2.1,0.535827
2.11,0.587785
2.12,0.637424
2.13,0.684547
2.14,0.728969
2.15,0.770513
2.16,0.809017
2.17,0.844328
2.18,0.876307
2.19,0.904827
2.2,0.929776
2.21,0.951057
2.22,0.968583
2.23,0.982287
2.24,0.992115
2.25,0.998027
2.26,1
2.27,0.998027
2.28,0.992115
2.29,0.982287
2.3,0.968583
2.31,0.951057
2.32,0.929776
2.33,0.904827
2.34,0.876307
2.35,0.844328
2.36,0.809017
2.37,0.770513
2.38,0.728969
2.39,0.684547
2.4,0.637424
2.41,0.587785
2.42,0.535827
2.43,0.481754
2.44,0.425779
2.45,0.368125
2.46,0.309017
2.47,0.24869
2.48,0.187381
2.49,0.125333
2.5,0.0627905
2.51,5.92321e-14
2.52,-0.0627905
2.53,-0.125333
2.54,-0.187381
2.55,-0.24869
2.56,-0.309017
2.57,-0.368125
2.58,-0.425779
2.59,-0.481754
2.6,-0.535827
2.61,-0.587785
2.62,-0.637424
2.63,-0.684547
2.64,-0.728969
2.65,-0.770513
2.66,-0.809017
2.67,-0.844328
2.68,-0.876307
2.69,-0.904827
2.7,-0.929776
2.71,-0.951057
2.72,-0.968583
2.73,-0.982287
2.74,-0.992115
2.75,-0.998027
2.76,-1
2.77,-0.998027
2.78,-0.992115
2.79,-0.982287
2.8,-0.968583
2.81,-0.951057
2.82,-0.929776
2.83,-0.904827
2.84,-0.876307
2.85,-0.844328
2.86,-0.809017
2.87,-0.770513
2.88,-0.728969
2.89,-0.684547
2.9,-0.637424
2.91,-0.587785
2.92,-0.535827
2.93,-0.481754
2.94,-0.425779
2.95,-0.368125
2.96,-0.309017
2.97,-0.24869
2.98,-0.187381
2.99,-0.125333
3,-0.0627905
3.01,-1.2508e-13
3.02,0.0627905
3.03,0.125333
3.04,0.187381
3.05,0.24869
3.06,0.309017
3.07,0.368125
3.08,0.425779
3.09,0.481754
3.1,0.535827
3.11,0.587785
3.12,0.637424
3.13,0.684547
3.14,0.728969
3.15,0.770513
3.16,0.809017
3.17,0.844328
3.18,0.876307
3.19,0.904827
3.2,0.929776
3.21,0.951057
3.22,0.968583
3.23,0.982287
3.24,0.992115
3.25,0.998027
3.26,1
3.27,0.998027
3.28,0.992115
3.29,0.982287
3.3,0.968583
3.31,0.951057
3.32,0.929776
3.33,0.904827
3.34,0.876307
3.35,0.844328
3.36,0.809017
3.37,0.770513
3.38,0.728969
3.39,0.684547
3.4,0.637424
3.41,0.587785
3.42,0.535827
3.43,0.481754
3.44,0.425779
3.45,0.368125
3.46,0.309017
3.47,0.24869
3.48,0.187381
3.49,0.125333
3.5,0.0627905
3.51,1.92704e-13
3.52,-0.0627905
3.53,-0.125333
3.54,-0.187381
3.55,-0.24869
3.56,-0.309017
3.57,-0.368125
3.58,-0.425779
3.59,-0.481754
3.6,-0.535827
3.61,-0.587785
3.62,-0.637424
3.63,-0.684547
3.64,-0.728969
3.65,-0.770513
3.66,-0.809017
3.67,-0.844328
3.68,-0.876307
3.69,-0.904827
3.7,-0.929776
3.71,-0.951057
3.72,-0.968583
3.73,-0.982287
3.74,-0.992115
3.75,-0.998027
3.76,-1
3.77,-0.998027
3.78,-0.992115
3.79,-0.982287
3.8,-0.968583
3.81,-0.951057
3.82,-0.929776
3.83,-0.904827
3.84,-0.876307
3.85,-0.844328
3.86,-0.809017
3.87,-0.770513
3.88,-0.728969
3.89,-0.684547
3.9,-0.637424
3.91,-0.587785
3.92,-0.535827
3.93,-0.481754
