time,Step_Input,_1__s_1_
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,1,0.00995
1.02,1,0.0181677
1.03,1,0.0279371
1.04,1,0.0376093
1.05,1,0.0471853
1.06,1,0.0566659
1.07,1,0.0660523
1.08,1,0.0753452
1.09,1,0.0845457
1.1,1,0.0936546
1.11,1,0.102673
1.12,1,0.111601
1.13,1,0.120441
1.14,1,0.129193
1.15,1,0.137858
1.16,1,0.146436
1.17,1,0.154929
1.18,1,0.163338
1.19,1,0.171663
1.2,1,0.179905
1.21,1,0.188065
1.22,1,0.196144
1.23,1,0.204142
1.24,1,0.212061
1.25,1,0.219901
1.26,1,0.227663
1.27,1,0.235348
1.28,1,0.242957
1.29,1,0.250489
1.3,1,0.257947
1.31,1,0.265331
1.32,1,0.272641
1.33,1,0.279878
1.34,1,0.287043
1.35,1,0.294137
1.36,1,0.301161
1.37,1,0.308115
1.38,1,0.314999
1.39,1,0.321815
1.4,1,0.328563
1.41,1,0.335244
1.42,1,0.341858
1.43,1,0.348407
1.44,1,0.35489
1.45,1,0.361309
1.46,1,0.367664
1.47,1,0.373956
1.48,1,0.380185
1.49,1,0.386353
1.5,1,0.392459
1.51,1,0.398504
1.52,1,0.404489
1.53,1,0.410414
1.54,1,0.416281
1.55,1,0.422089
1.56,1,0.427839
1.57,1,0.433532
1.58,1,0.439169
1.59,1,0.444749
1.6,1,0.450274
1.61,1,0.455744
1.62,1,0.461159
1.63,1,0.466521
1.64,1,0.471829
1.65,1,0.477084
1.66,1,0.482287
1.67,1,0.487439
1.68,1,0.492539
1.69,1,0.497588
1.7,1,0.502587
1.71,1,0.507536
1.72,1,0.512437
1.73,1,0.517288
1.74,1,0.522091
1.75,1,0.526846
1.76,1,0.531554
1.77,1,0.536215
1.78,1,0.54083
1.79,1,0.545399
1.8,1,0.549922
1.81,1,0.554401
1.82,1,0.558834
1.83,1,0.563224
1.84,1,0.56757
1.85,1,0.571873
1.86,1,0.576133
1.87,1,0.58035
1.88,1,0.584526
1.89,1,0.58866
1.9,1,0.592753
1.91,1,0.596805
1.92,1,0.600817
1.93,1,0.604789
1.94,1,0.608721
1.95,1,0.612614
1.96,1,0.616469
1.97,1,0.620285
1.98,1,0.624063
1.99,1,0.627804
2,1,0.631507
2.01,1,0.635174
2.02,1,0.638804
2.03,1,0.642398
2.04,1,0.645956
2.05,1,0.649479
2.06,1,0.652967
2.07,1,0.65642
2.08,1,0.659839
2.09,1,0.663223
2.1,1,0.666574
2.11,1,0.669892
2.12,1,0.673176
2.13,1,0.676428
2.14,1,0.679648
2.15,1,0.682836
2.16,1,0.685991
2.17,1,0.689116
2.18,1,0.692209
2.19,1,0.695272
2.2,1,0.698304
2.21,1,0.701306
2.22,1,0.704278
2.23,1,0.70722
2.24,1,0.710133
2.25,1,0.713018
2.26,1,0.715873
2.27,1,0.7187
2.28,1,0.721499
2.29,1,0.72427
2.3,1,0.727014
2.31,1,0.72973
2.32,1,0.732419
2.33,1,0.735082
2.34,1,0.737718
2.35,1,0.740328
2.36,1,0.742911
2.37,1,0.74547
2.38,1,0.748002
2.39,1,0.75051
2.4,1,0.752992
2.41,1,0.75545
2.42,1,0.757883
2.43,1,0.760292
2.44,1,0.762677
2.45,1,0.765039
2.46,1,0.767377
2.47,1,0.769691
2.48,1,0.771983
2.49,1,0.774252
2.5,1,0.776498
2.51,1,0.778722
2.52,1,0.780924
2.53,1,0.783103
2.54,1,0.785262
2.55,1,0.787398
2.56,1,0.789514
2.57,1,0.791608
2.58,1,0.793682
2.59,1,0.795735
2.6,1,0.797767
2.61,1,0.799779
2.62,1,0.801771
2.63,1,0.803744
2.64,1,0.805697
2.65,1,0.80763
2.66,1,0.809544
2.67,1,0.811439
2.68,1,0.813315
2.69,1,0.815173
2.7,1,0.817012
2.71,1,0.818833
2.72,1,0.820635
2.73,1,0.82242
2.74,1,0.824187
2.75,1,0.825936
2.76,1,0.827668
2.77,1,0.829383
2.78,1,0.831081
2.79,1,0.832762
2.8,1,0.834426
2.81,1,0.836073
2.82,1,0.837704
2.83,1,0.839319
2.84,1,0.840918
2.85,1,0.842501
2.86,1,0.844068
2.87,1,0.845619
2.88,1,0.847156
2.89,1,0.848676
2.9,1,0.850182
2.91,1,0.851673
2.92,1,0.853149
2.93,1,0.85461
2.94,1,0.856057
2.95,1,0.857489
2.96,1,0.858907
2.97,1,0.860311
2.98,1,0.861701
2.99,1,0.863077
3,1,0.864439
3.01,1,0.865788
3.02,1,0.867123
3.03,1,0.868446
3.04,1,0.869755
3.05,1,0.871051
3.06,1,0.872334
3.07,1,0.873604
3.08,1,0.874862
3.09,1,0.876107
3.1,1,0.877339
3.11,1,0.87856
3.12,1,0.879768
3.13,1,0.880965
3.14,1,0.882149
3.15,1,0.883322
3.16,1,0.884483
3.17,1,0.885632
3.18,1,0.88677
3.19,1,0.887897
3.2,1,0.889012
3.21,1,0.890117
3.22,1,0.89121
3.23,1,0.892292
3.24,1,0.893364
3.25,1,0.894425
3.26,1,0.895476
3.27,1,0.896516
3.28,1,0.897545
3.29,1,0.898565
3.3,1,0.899574
3.31,1,0.900573
3.32,1,0.901563
3.33,1,0.902542
3.34,1,0.903512
3.35,1,0.904472
3.36,1,0.905422
3.37,1,0.906363
3.38,1,0.907295
3.39,1,0.908218
3.4,1,0.909131
3.41,1,0.910035
3.42,1,0.91093
3.43,1,0.911816
3.44,1,0.912694
3.45,1,0.913563
3.46,1,0.914423
3.47,1,0.915274
3.48,1,0.916117
3.49,1,0.916952
3.5,1,0.917778
3.51,1,0.918596
3.52,1,0.919406
3.53,1,0.920208
3.54,1,0.921002
3.55,1,0.921788
3.56,1,0.922566
3.57,1,0.923337
3.58,1,0.9241
3.59,1,0.924855
3.6,1,0.925603
3.61,1,0.926343
3.62,1,0.927076
3.63,1,0.927801
3.64,1,0.92852
3.65,1,0.929231
3.66,1,0.929935
3.67,1,0.930632
3.68,1,0.931323
3.69,1,0.932006
3.7,1,0.932682
3.71,1,0.933352
3.72,1,0.934015
3.73,1,0.934672
3.74,1,0.935322
