time,Reference,Plant
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,1,0
1.02,1,0.0106282
1.03,1,0.0228047
1.04,1,0.0402505
1.05,1,0.0592815
1.06,1,0.0790361
1.07,1,0.0991563
1.08,1,0.119489
1.09,1,0.13996
1.1,1,0.160527
1.11,1,0.18116
1.12,1,0.201835
1.13,1,0.22253
1.14,1,0.243225
1.15,1,0.263901
1.16,1,0.284538
1.17,1,0.30512
1.18,1,0.325629
1.19,1,0.346049
1.2,1,0.366363
1.21,1,0.386558
1.22,1,0.406617
1.23,1,0.426528
1.24,1,0.446277
1.25,1,0.465851
1.26,1,0.485238
1.27,1,0.504427
1.28,1,0.523407
1.29,1,0.542167
1.3,1,0.560699
1.31,1,0.578991
1.32,1,0.597037
1.33,1,0.614827
1.34,1,0.632355
1.35,1,0.649612
1.36,1,0.666592
1.37,1,0.68329
1.38,1,0.699699
1.39,1,0.715815
1.4,1,0.731632
1.41,1,0.747146
1.42,1,0.762353
1.43,1,0.777251
1.44,1,0.791835
1.45,1,0.806103
1.46,1,0.820053
1.47,1,0.833683
1.48,1,0.846991
1.49,1,0.859976
1.5,1,0.872638
1.51,1,0.884975
1.52,1,0.896988
1.53,1,0.908677
1.54,1,0.920042
1.55,1,0.931083
1.56,1,0.941802
1.57,1,0.952201
1.58,1,0.962279
1.59,1,0.97204
1.6,1,0.981485
1.61,1,0.990616
1.62,1,0.999436
1.63,1,1.00795
1.64,1,1.01615
1.65,1,1.02405
1.66,1,1.03166
1.67,1,1.03896
1.68,1,1.04598
1.69,1,1.0527
1.7,1,1.05914
1.71,1,1.06529
1.72,1,1.07117
1.73,1,1.07678
1.74,1,1.08212
1.75,1,1.08719
1.76,1,1.092
1.77,1,1.09656
1.78,1,1.10086
1.79,1,1.10492
1.8,1,1.10874
1.81,1,1.11232
1.82,1,1.11566
1.83,1,1.11879
1.84,1,1.12168
1.85,1,1.12437
1.86,1,1.12684
1.87,1,1.1291
1.88,1,1.13116
1.89,1,1.13303
1.9,1,1.1347
1.91,1,1.13619
1.92,1,1.13749
1.93,1,1.13862
1.94,1,1.13958
1.95,1,1.14037
1.96,1,1.141
1.97,1,1.14147
1.98,1,1.14179
1.99,1,1.14197
2,1,1.142
2.01,1,1.1419
2.02,1,1.14167
2.03,1,1.14131
2.04,1,1.14083
2.05,1,1.14022
2.06,1,1.13951
2.07,1,1.13869
2.08,1,1.13776
2.09,1,1.13674
2.1,1,1.13562
2.11,1,1.13441
2.12,1,1.13311
2.13,1,1.13174
2.14,1,1.13028
2.15,1,1.12875
2.16,1,1.12715
2.17,1,1.12548
2.18,1,1.12375
2.19,1,1.12197
2.2,1,1.12013
2.21,1,1.11823
2.22,1,1.11629
2.23,1,1.11431
2.24,1,1.11228
2.25,1,1.11022
2.26,1,1.10812
2.27,1,1.106
2.28,1,1.10384
2.29,1,1.10166
2.3,1,1.09946
2.31,1,1.09724
2.32,1,1.095
2.33,1,1.09275
2.34,1,1.09048
2.35,1,1.08821
2.36,1,1.08593
2.37,1,1.08365
2.38,1,1.08136
2.39,1,1.07908
2.4,1,1.0768
2.41,1,1.07452
2.42,1,1.07225
2.43,1,1.06999
2.44,1,1.06774
2.45,1,1.0655
2.46,1,1.06327
2.47,1,1.06106
2.48,1,1.05887
2.49,1,1.05669
2.5,1,1.05453
2.51,1,1.0524
2.52,1,1.05029
2.53,1,1.0482
2.54,1,1.04613
2.55,1,1.0441
2.56,1,1.04208
2.57,1,1.0401
2.58,1,1.03815
2.59,1,1.03622
2.6,1,1.03432
2.61,1,1.03246
2.62,1,1.03063
2.63,1,1.02882
2.64,1,1.02706
2.65,1,1.02532
2.66,1,1.02362
2.67,1,1.02195
2.68,1,1.02032
2.69,1,1.01873
2.7,1,1.01716
2.71,1,1.01564
2.72,1,1.01415
2.73,1,1.01269
2.74,1,1.01127
2.75,1,1.00989
2.76,1,1.00854
2.77,1,1.00723
2.78,1,1.00596
2.79,1,1.00472
2.8,1,1.00352
2.81,1,1.00235
2.82,1,1.00122
2.83,1,1.00012
2.84,1,0.999062
2.85,1,0.998037
2.86,1,0.997047
2.87,1,0.996091
2.88,1,0.99517
2.89,1,0.994282
2.9,1,0.993429
2.91,1,0.992608
2.92,1,0.991821
2.93,1,0.991065
2.94,1,0.990342
2.95,1,0.989651
2.96,1,0.988991
2.97,1,0.988362
2.98,1,0.987763
2.99,1,0.987193
3,1,0.986654
3.01,1,0.986143
3.02,1,0.98566
3.03,1,0.985205
3.04,1,0.984777
3.05,1,0.984376
3.06,1,0.984002
3.07,1,0.983653
3.08,1,0.983329
3.09,1,0.983029
3.1,1,0.982754
3.11,1,0.982502
3.12,1,0.982273
3.13,1,0.982066
3.14,1,0.981881
3.15,1,0.981717
3.16,1,0.981574
3.17,1,0.981451
3.18,1,0.981347
3.19,1,0.981262
3.2,1,0.981195
3.21,1,0.981147
3.22,1,0.981115
3.23,1,0.9811
3.24,1,0.981101
3.25,1,0.981118
3.26,1,0.98115
3.27,1,0.981196
3.28,1,0.981256
3.29,1,0.98133
3.3,1,0.981416
3.31,1,0.981515
3.32,1,0.981626
3.33,1,0.981748
3.34,1,0.981881
3.35,1,0.982025
3.36,1,0.982178
3.37,1,0.982341
3.38,1,0.982513
3.39,1,0.982693
3.4,1,0.982881
3.41,1,0.983077
3.42,1,0.98328
3.43,1,0.98349
3.44,1,0.983706
3.45,1,0.983928
3.46,1,0.984156
3.47,1,0.984389
3.48,1,0.984626
3.49,1,0.984868
3.5,1,0.985114
3.51,1,0.985363
3.52,1,0.985616
3.53,1,0.985872
3.54,1,0.98613
3.55,1,0.986391
3.56,1,0.986654
3.57,1,0.986918
3.58,1,0.987184
3.59,1,0.987451
3.6,1,0.987719
3.61,1,0.987987
3.62,1,0.988256
3.63,1,0.988524
3.64,1,0.988793
3.65,1,0.989061
3.66,1,0.989328
3.67,1,0.989595
3.68,1,0.98986
3.69,1,0.990125
3.7,1,0.990387
3.71,1,0.990648
3.72,1,0.990908
3.73,1,0.991165
3.74,1,0.99142
3.75,1,0.991673
