time,Setpoint__20C_,Room_Temp,Thermostat
0,20,0,-1
0.1,20,-0.1,1
0.2,20,0.051,1
0.3,20,0.150073,1
0.4,20,0.248827,1
0.5,20,0.346586,1
0.6,20,0.443365,1
0.7,20,0.539173,1
0.8,20,0.634021,1
0.9,20,0.727919,1
1,20,0.820874,1
1.1,20,0.912898,1
1.2,20,1.004,1
1.3,20,1.09419,1
1.4,20,1.18347,1
1.5,20,1.27186,1
1.6,20,1.35936,1
1.7,20,1.44599,1
1.8,20,1.53174,1
1.9,20,1.61664,1
2,20,1.70069,1
2.1,20,1.78389,1
2.2,20,1.86626,1
2.3,20,1.9478,1
2.4,20,2.02853,1
2.5,20,2.10845,1
2.6,20,2.18756,1
2.7,20,2.26588,1
2.8,20,2.34342,1
2.9,20,2.42018,1
3,20,2.49617,1
3.1,20,2.5714,1
3.2,20,2.64587,1
3.3,20,2.7196,1
3.4,20,2.79259,1
3.5,20,2.86485,1
3.6,20,2.93638,1
3.7,20,3.00719,1
3.8,20,3.0773,1
3.9,20,3.1467,1
4,20,3.21541,1
4.1,20,3.28343,1
4.2,20,3.35076,1
4.3,20,3.41742,1
4.4,20,3.48342,1
4.5,20,3.54875,1
4.6,20,3.61342,1
4.7,20,3.67745,1
4.8,20,3.74084,1
4.9,20,3.80359,1
5,20,3.86571,1
5.1,20,3.92721,1
5.2,20,3.98809,1
5.3,20,4.04836,1
5.4,20,4.10803,1
5.5,20,4.1671,1
5.6,20,4.22557,1
5.7,20,4.28346,1
5.8,20,4.34077,1
5.9,20,4.39751,1
6,20,4.45368,1
6.1,20,4.50928,1
6.2,20,4.56433,1
6.3,20,4.61882,1
6.4,20,4.67277,1
6.5,20,4.72618,1
6.6,20,4.77905,1
6.7,20,4.83139,1
6.8,20,4.88321,1
6.9,20,4.9345,1
7,20,4.98529,1
7.1,20,5.03556,1
7.2,20,5.08533,1
7.3,20,5.1346,1
7.4,20,5.18338,1
7.5,20,5.23167,1
7.6,20,5.27947,1
7.7,20,5.3268,1
7.8,20,5.37365,1
7.9,20,5.42003,1
8,20,5.46594,1
8.1,20,5.5114,1
8.2,20,5.5564,1
8.3,20,5.60095,1
8.4,20,5.64505,1
8.5,20,5.68871,1
8.6,20,5.73193,1
8.7,20,5.77472,1
8.8,20,5.81708,1
8.9,20,5.85902,1
9,20,5.90053,1
9.1,20,5.94163,1
9.2,20,5.98232,1
9.3,20,6.02259,1
9.4,20,6.06247,1
9.5,20,6.10194,1
9.6,20,6.14102,1
9.7,20,6.17971,1
9.8,20,6.21801,1
9.9,20,6.25593,1
10,20,6.29346,1
10.1,20,6.33062,1
10.2,20,6.36741,1
10.3,20,6.40383,1
10.4,20,6.43988,1
10.5,20,6.47557,1
10.6,20,6.5109,1
10.7,20,6.54588,1
10.8,20,6.58051,1
10.9,20,6.61479,1
11,20,6.64873,1
11.1,20,6.68233,1
11.2,20,6.71559,1
11.3,20,6.74852,1
11.4,20,6.78111,1
11.5,20,6.81338,1
11.6,20,6.84533,1
11.7,20,6.87696,1
11.8,20,6.90827,1
11.9,20,6.93926,1
12,20,6.96995,1
12.1,20,7.00033,1
12.2,20,7.0304,1
12.3,20,7.06017,1
12.4,20,7.08964,1
12.5,20,7.11882,1
12.6,20,7.1477,1
12.7,20,7.1763,1
12.8,20,7.20461,1
12.9,20,7.23263,1
13,20,7.26038,1
13.1,20,7.28784,1
13.2,20,7.31503,1
13.3,20,7.34195,1
13.4,20,7.3686,1
13.5,20,7.39498,1
13.6,20,7.4211,1
13.7,20,7.44695,1
13.8,20,7.47254,1
13.9,20,7.49788,1
14,20,7.52297,1
14.1,20,7.5478,1
14.2,20,7.57239,1
14.3,20,7.59672,1
14.4,20,7.62082,1
14.5,20,7.64467,1
14.6,20,7.66828,1
14.7,20,7.69166,1
14.8,20,7.7148,1
14.9,20,7.73771,1
15,20,7.76039,1
15.1,20,7.78284,1
15.2,20,7.80507,1
15.3,20,7.82708,1
15.4,20,7.84886,1
15.5,20,7.87043,1
15.6,20,7.89178,1
15.7,20,7.91291,1
15.8,20,7.93383,1
15.9,20,7.95455,1
16,20,7.97506,1
16.1,20,7.99536,1
16.2,20,8.01545,1
16.3,20,8.03535,1
16.4,20,8.05505,1
16.5,20,8.07454,1
16.6,20,8.09385,1
16.7,20,8.11296,1
16.8,20,8.13188,1
16.9,20,8.1506,1
17,20,8.16914,1
17.1,20,8.1875,1
17.2,20,8.20567,1
17.3,20,8.22366,1
17.4,20,8.24147,1
17.5,20,8.2591,1
17.6,20,8.27655,1
17.7,20,8.29383,1
17.8,20,8.31093,1
17.9,20,8.32787,1
18,20,8.34463,1
18.1,20,8.36123,1
18.2,20,8.37766,1
18.3,20,8.39392,1
18.4,20,8.41002,1
18.5,20,8.42596,1
18.6,20,8.44174,1
18.7,20,8.45736,1
18.8,20,8.47283,1
18.9,20,8.48814,1
19,20,8.5033,1
19.1,20,8.5183,1
