time,Speed__RPM_,Torque__N__m_,Efficiency__0_1_,Power__T_____
0,0,0,0,1
0.01,0,10,0,0
0.02,1,9.999,0.00225,0.0224978
0.03,2,9.998,0.0045,0.044991
0.04,3,9.997,0.00675,0.0674798
0.05,4,9.996,0.009,0.089964
0.06,5,9.995,0.01125,0.112444
0.07,6,9.994,0.0135,0.134919
0.08,7,9.993,0.01575,0.15739
0.09,8,9.992,0.018,0.179856
0.1,9,9.991,0.02025,0.202318
0.11,10,9.99,0.0225,0.224775
0.12,11,9.989,0.02475,0.247228
0.13,12,9.988,0.027,0.269676
0.14,13,9.987,0.02925,0.29212
0.15,14,9.986,0.0315,0.314559
0.16,15,9.985,0.03375,0.336994
0.17,16,9.984,0.036,0.359424
0.18,17,9.983,0.03825,0.38185
0.19,18,9.982,0.0405,0.404271
0.2,19,9.981,0.04275,0.426688
0.21,20,9.98,0.045,0.4491
0.22,21,9.979,0.04725,0.471508
0.23,22,9.978,0.0495,0.493911
0.24,23,9.977,0.05175,0.51631
0.25,24,9.976,0.054,0.538704
0.26,25,9.975,0.05625,0.561094
0.27,26,9.974,0.0585,0.583479
0.28,27,9.973,0.06075,0.60586
0.29,28,9.972,0.063,0.628236
0.3,29,9.971,0.06525,0.650608
0.31,30,9.97,0.0675,0.672975
0.32,31,9.969,0.06975,0.695338
0.33,32,9.968,0.072,0.717696
0.34,33,9.967,0.07425,0.74005
0.35,34,9.966,0.0765,0.762399
0.36,35,9.965,0.07875,0.784744
0.37,36,9.964,0.081,0.807084
0.38,37,9.963,0.08325,0.82942
0.39,38,9.962,0.0855,0.851751
0.4,39,9.961,0.08775,0.874078
0.41,40,9.96,0.09,0.8964
0.42,41,9.959,0.09225,0.918718
0.43,42,9.958,0.0945,0.941031
0.44,43,9.957,0.09675,0.96334
0.45,44,9.956,0.099,0.985644
0.46,45,9.955,0.10125,1.00794
0.47,46,9.954,0.1035,1.03024
0.48,47,9.953,0.10575,1.05253
0.49,48,9.952,0.108,1.07482
0.5,49,9.951,0.11025,1.0971
0.51,50,9.95,0.1125,1.11938
0.52,51,9.949,0.11475,1.14165
0.53,52,9.948,0.117,1.16392
0.54,53,9.947,0.11925,1.18618
0.55,54,9.946,0.1215,1.20844
0.56,55,9.945,0.12375,1.23069
0.57,56,9.944,0.126,1.25294
0.58,57,9.943,0.12825,1.27519
0.59,58,9.942,0.1305,1.29743
0.6,59,9.941,0.13275,1.31967
0.61,60,9.94,0.135,1.3419
0.62,61,9.939,0.13725,1.36413
0.63,62,9.938,0.1395,1.38635
0.64,63,9.937,0.14175,1.40857
0.65,64,9.936,0.144,1.43078
0.66,65,9.935,0.14625,1.45299
0.67,66,9.934,0.1485,1.4752
0.68,67,9.933,0.15075,1.4974
0.69,68,9.932,0.153,1.5196
0.7,69,9.931,0.15525,1.54179
0.71,70,9.93,0.1575,1.56398
0.72,71,9.929,0.15975,1.58616
0.73,72,9.928,0.162,1.60834
0.74,73,9.927,0.16425,1.63051
0.75,74,9.926,0.1665,1.65268
0.76,75,9.925,0.16875,1.67484
0.77,76,9.924,0.171,1.697
0.78,77,9.923,0.17325,1.71916
0.79,78,9.922,0.1755,1.74131
0.8,79,9.921,0.17775,1.76346
0.81,80,9.92,0.18,1.7856
0.82,81,9.919,0.18225,1.80774
0.83,82,9.918,0.1845,1.82987
0.84,83,9.917,0.18675,1.852
0.85,84,9.916,0.189,1.87412
0.86,85,9.915,0.19125,1.89624
0.87,86,9.914,0.1935,1.91836
0.88,87,9.913,0.19575,1.94047
0.89,88,9.912,0.198,1.96258
0.9,89,9.911,0.20025,1.98468
0.91,90,9.91,0.2025,2.00678
0.92,91,9.909,0.20475,2.02887
0.93,92,9.908,0.207,2.05096
0.94,93,9.907,0.20925,2.07304
0.95,94,9.906,0.2115,2.09512
0.96,95,9.905,0.21375,2.11719
0.97,96,9.904,0.216,2.13926
0.98,97,9.903,0.21825,2.16133
0.99,98,9.902,0.2205,2.18339
1,99,9.901,0.22275,2.20545
1.01,100,9.9,0.225,2.2275
1.02,101,9.899,0.22725,2.24955
1.03,102,9.898,0.2295,2.27159
1.04,103,9.897,0.23175,2.29363
1.05,104,9.896,0.234,2.31566
1.06,105,9.895,0.23625,2.33769
1.07,106,9.894,0.2385,2.35972
1.08,107,9.893,0.24075,2.38174
1.09,108,9.892,0.243,2.40376
1.1,109,9.891,0.24525,2.42577
1.11,110,9.89,0.2475,2.44778
1.12,111,9.889,0.24975,2.46978
1.13,112,9.888,0.252,2.49178
1.14,113,9.887,0.25425,2.51377
