time,Step_Input,Underdamped,Critical,Overdamped
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,0,0,0,0
0.12,0,0,0,0
0.13,0,0,0,0
0.14,0,0,0,0
0.15,0,0,0,0
0.16,0,0,0,0
0.17,0,0,0,0
0.18,0,0,0,0
0.19,0,0,0,0
0.2,0,0,0,0
0.21,0,0,0,0
0.22,0,0,0,0
0.23,0,0,0,0
0.24,0,0,0,0
0.25,0,0,0,0
0.26,0,0,0,0
0.27,0,0,0,0
0.28,0,0,0,0
0.29,0,0,0,0
0.3,0,0,0,0
0.31,0,0,0,0
0.32,0,0,0,0
0.33,0,0,0,0
0.34,0,0,0,0
0.35,0,0,0,0
0.36,0,0,0,0
0.37,0,0,0,0
0.38,0,0,0,0
0.39,0,0,0,0
0.4,0,0,0,0
0.41,0,0,0,0
0.42,0,0,0,0
0.43,0,0,0,0
0.44,0,0,0,0
0.45,0,0,0,0
0.46,0,0,0,0
0.47,0,0,0,0
0.48,0,0,0,0
0.49,0,0,0,0
0.5,0,0,0,0
0.51,0,0,0,0
0.52,0,0,0,0
0.53,0,0,0,0
0.54,0,0,0,0
0.55,0,0,0,0
0.56,0,0,0,0
0.57,0,0,0,0
0.58,0,0,0,0
0.59,0,0,0,0
0.6,0,0,0,0
0.61,0,0,0,0
0.62,0,0,0,0
0.63,0,0,0,0
0.64,0,0,0,0
0.65,0,0,0,0
0.66,0,0,0,0
0.67,0,0,0,0
0.68,0,0,0,0
0.69,0,0,0,0
0.7,0,0,0,0
0.71,0,0,0,0
0.72,0,0,0,0
0.73,0,0,0,0
0.74,0,0,0,0
0.75,0,0,0,0
0.76,0,0,0,0
0.77,0,0,0,0
0.78,0,0,0,0
0.79,0,0,0,0
0.8,0,0,0,0
0.81,0,0,0,0
0.82,0,0,0,0
0.83,0,0,0,0
0.84,0,0,0,0
0.85,0,0,0,0
0.86,0,0,0,0
0.87,0,0,0,0
0.88,0,0,0,0
0.89,0,0,0,0
0.9,0,0,0,0
0.91,0,0,0,0
0.92,0,0,0,0
0.93,0,0,0,0
0.94,0,0,0,0
0.95,0,0,0,0
0.96,0,0,0,0
0.97,0,0,0,0
0.98,0,0,0,0
0.99,0,0,0,0
1,0,0,0,0
1.01,1,5e-05,5e-05,5e-05
1.02,1,0.000166229,0.000164514,0.000162401
1.03,1,0.000398444,0.000392414,0.000385067
1.04,1,0.000729491,0.000714769,0.000696989
1.05,1,0.00115894,0.00112968,0.00109464
1.06,1,0.00168636,0.00163526,0.00157461
1.07,1,0.00231131,0.00222968,0.00213364
1.08,1,0.00303333,0.00291111,0.00276856
1.09,1,0.00385197,0.00367777,0.00347634
1.1,1,0.00476675,0.00452789,0.00425406
1.11,1,0.00577721,0.00545973,0.00509889
1.12,1,0.00688285,0.00647158,0.00600811
1.13,1,0.00808319,0.00756177,0.00697913
1.14,1,0.00937774,0.00872862,0.00800941
1.15,1,0.010766,0.00997051,0.00909653
1.16,1,0.0122474,0.0112858,0.0102382
1.17,1,0.0138215,0.012673,0.011432
1.18,1,0.0154877,0.0141304,0.012676
1.19,1,0.0172455,0.0156566,0.013968
1.2,1,0.0190944,0.0172501,0.015306
1.21,1,0.0210338,0.0189092,0.016688
1.22,1,0.0230632,0.0206327,0.0181123
1.23,1,0.0251819,0.022419,0.0195769
1.24,1,0.0273895,0.0242667,0.0210803
1.25,1,0.0296853,0.0261744,0.0226206
1.26,1,0.0320688,0.0281408,0.0241963
1.27,1,0.0345394,0.0301644,0.025806
1.28,1,0.0370965,0.032244,0.027448
1.29,1,0.0397395,0.0343782,0.0291209
1.3,1,0.0424677,0.0365658,0.0308234
1.31,1,0.0452807,0.0388054,0.0325542
1.32,1,0.0481776,0.0410959,0.0343119
1.33,1,0.051158,0.0434359,0.0360954
1.34,1,0.0542212,0.0458243,0.0379035
1.35,1,0.0573666,0.0482599,0.0397349
1.36,1,0.0605935,0.0507415,0.0415887
1.37,1,0.0639012,0.0532679,0.0434637
1.38,1,0.0672892,0.055838,0.045359
1.39,1,0.0707567,0.0584508,0.0472735
1.4,1,0.0743031,0.061105,0.0492064
1.41,1,0.0779277,0.0637996,0.0511567
1.42,1,0.0816299,0.0665335,0.0531235
1.43,1,0.085409,0.0693057,0.055106
1.44,1,0.0892643,0.0721152,0.0571034
1.45,1,0.093195,0.0749609,0.0591149
1.46,1,0.0972006,0.0778418,0.0611398
1.47,1,0.10128,0.080757,0.0631773
1.48,1,0.105433,0.0837055,0.0652267
1.49,1,0.109659,0.0866863,0.0672875
1.5,1,0.113957,0.0896985,0.0693588
1.51,1,0.118326,0.0927412,0.0714402
1.52,1,0.122766,0.0958134,0.0735309
1.53,1,0.127275,0.0989144,0.0756305
