time,Altitude__m_,Temperature__K_,Speed_of_Sound__m_s_,Pressure__Pa_,Density__kg_m_3_
0,0,288.15,101325,1.225,340.3
0.1,0,288.15,101325,1.22501,340.292
0.2,100,287.5,100129,1.21329,339.908
0.3,200,286.85,98945.3,1.20166,339.524
0.4,300,286.2,97772.5,1.19012,339.139
0.5,400,285.55,96611.1,1.17866,338.754
0.6,500,284.9,95460.8,1.16728,338.368
0.7,600,284.25,94321.6,1.15599,337.982
0.8,700,283.6,93193.5,1.14478,337.595
0.9,800,282.95,92076.3,1.13365,337.208
1,900,282.3,90970,1.12261,336.82
1.1,1000,281.65,89874.5,1.11165,336.432
1.2,1100,281,88789.6,1.10077,336.044
1.3,1200,280.35,87715.4,1.08998,335.655
1.4,1300,279.7,86651.8,1.07926,335.266
1.5,1400,279.05,85598.6,1.06863,334.876
1.6,1500,278.4,84555.8,1.05808,334.486
1.7,1600,277.75,83523.4,1.0476,334.095
1.8,1700,277.1,82501.1,1.03721,333.704
1.9,1800,276.45,81489,1.02689,333.312
2,1900,275.8,80487,1.01666,332.92
2.1,2000,275.15,79495,1.0065,332.527
2.2,2100,274.5,78512.9,0.996417,332.134
2.3,2200,273.85,77540.7,0.986414,331.741
2.4,2300,273.2,76578.2,0.976488,331.347
2.5,2400,272.55,75625.4,0.966639,330.953
2.6,2500,271.9,74682.3,0.956865,330.558
2.7,2600,271.25,73748.7,0.947168,330.162
2.8,2700,270.6,72824.6,0.937546,329.767
2.9,2800,269.95,71909.8,0.927999,329.37
3,2900,269.3,71004.4,0.918526,328.974
3.1,3000,268.65,70108.3,0.909128,328.576
3.2,3100,268,69221.3,0.899803,328.179
3.3,3200,267.35,68343.4,0.890552,327.78
3.4,3300,266.7,67474.6,0.881373,327.382
3.5,3400,266.05,66614.7,0.872267,326.982
3.6,3500,265.4,65763.8,0.863234,326.583
3.7,3600,264.75,64921.6,0.854272,326.183
3.8,3700,264.1,64088.2,0.845381,325.782
3.9,3800,263.45,63263.5,0.836561,325.381
4,3900,262.8,62447.5,0.827812,324.979
4.1,4000,262.15,61639.9,0.819133,324.577
4.2,4100,261.5,60840.8,0.810524,324.174
4.3,4200,260.85,60050.2,0.801984,323.771
4.4,4300,260.2,59267.9,0.793514,323.368
4.5,4400,259.55,58493.8,0.785112,322.963
4.6,4500,258.9,57728,0.776778,322.559
4.7,4600,258.25,56970.3,0.768512,322.154
4.8,4700,257.6,56220.6,0.760313,321.748
4.9,4800,256.95,55479,0.752182,321.342
5,4900,256.3,54745.4,0.744117,320.935
5.1,5000,255.65,54019.5,0.736118,320.528
5.2,5100,255,53301.6,0.728186,320.12
5.3,5200,254.35,52591.3,0.720319,319.712
5.4,5300,253.7,51888.8,0.712517,319.303
5.5,5400,253.05,51193.8,0.70478,318.894
5.6,5500,252.4,50506.4,0.697107,318.484
5.7,5600,251.75,49826.5,0.689499,318.074
5.8,5700,251.1,49154.1,0.681954,317.663
5.9,5800,250.45,48489,0.674473,317.251
6,5900,249.8,47831.2,0.667054,316.839
6.1,6000,249.15,47180.6,0.659698,316.427
6.2,6100,248.5,46537.3,0.652405,316.014
6.3,6200,247.85,45901,0.645173,315.6
6.4,6300,247.2,45271.9,0.638002,315.186
6.5,6400,246.55,44649.7,0.630893,314.771
6.6,6500,245.9,44034.5,0.623845,314.356
6.7,6600,245.25,43426.1,0.616857,313.94
6.8,6700,244.6,42824.6,0.609929,313.524
6.9,6800,243.95,42229.8,0.60306,313.107
7,6900,243.3,41641.8,0.596251,312.69
7.1,7000,242.65,41060.3,0.589501,312.272
7.2,7100,242,40485.5,0.58281,311.853
7.3,7200,241.35,39917.2,0.576177,311.434
7.4,7300,240.7,39355.4,0.569601,311.015
7.5,7400,240.05,38800,0.563084,310.594
7.6,7500,239.4,38251,0.556623,310.174
7.7,7600,238.75,37708.3,0.55022,309.752
7.8,7700,238.1,37171.8,0.543873,309.33
7.9,7800,237.45,36641.6,0.537582,308.908
8,7900,236.8,36117.5,0.531347,308.485
8.1,8000,236.15,35599.4,0.525167,308.061
8.2,8100,235.5,35087.4,0.519042,307.637
8.3,8200,234.85,34581.4,0.512973,307.212
8.4,8300,234.2,34081.3,0.506957,306.786
8.5,8400,233.55,33587.1,0.500996,306.36
8.6,8500,232.9,33098.6,0.495089,305.934
8.7,8600,232.25,32616,0.489235,305.507
8.8,8700,231.6,32139.1,0.483434,305.079
8.9,8800,230.95,31667.8,0.477686,304.65
9,8900,230.3,31202.2,0.47199,304.221
9.1,9000,229.65,30742.1,0.466347,303.792
9.2,9100,229,30287.5,0.460755,303.362
9.3,9200,228.35,29838.4,0.455215,302.931
9.4,9300,227.7,29394.6,0.449726,302.499
9.5,9400,227.05,28956.3,0.444287,302.067
9.6,9500,226.4,28523.2,0.438899,301.634
9.7,9600,225.75,28095.4,0.433561,301.201
9.8,9700,225.1,27672.9,0.428273,300.767
9.9,9800,224.45,27255.4,0.423035,300.333
10,9900,223.8,26843.1,0.417845,299.897
10.1,10000,223.15,26435.9,0.412705,299.462
10.2,10100,222.5,26033.7,0.407613,299.025
10.3,10200,221.85,25636.4,0.402569,298.588
10.4,10300,221.2,25244.1,0.397573,298.15
10.5,10400,220.55,24856.6,0.392625,297.712
10.6,10500,219.9,24474,0.387723,297.273
10.7,10600,219.25,24096.2,0.382869,296.833
10.8,10700,218.6,23723,0.378062,296.393
10.9,10800,217.95,23354.6,0.373301,295.952
11,10900,217.3,22990.9,0.368585,295.51
11.1,11000,216.65,22631.7,0.363916,295.068
11.2,11100,216.65,22277.6,0.358222,295.068
11.3,11200,216.65,21929.1,0.352618,295.068
11.4,11300,216.65,21586,0.347101,295.068
11.5,11400,216.65,21248.3,0.34167,295.068
11.6,11500,216.65,20915.8,0.336325,295.068
11.7,11600,216.65,20588.6,0.331063,295.068
11.8,11700,216.65,20266.5,0.325883,295.068
11.9,11800,216.65,19949.4,0.320785,295.068
12,11900,216.65,19637.3,0.315766,295.068
12.1,12000,216.65,19330.1,0.310826,295.068
12.2,12100,216.65,19027.6,0.305963,295.068
12.3,12200,216.65,18729.9,0.301176,295.068
12.4,12300,216.65,18436.9,0.296464,295.068
12.5,12400,216.65,18148.5,0.291826,295.068
12.6,12500,216.65,17864.5,0.28726,295.068
12.7,12600,216.65,17585,0.282766,295.068
12.8,12700,216.65,17309.9,0.278342,295.068
12.9,12800,216.65,17039.1,0.273987,295.068
13,12900,216.65,16772.5,0.2697,295.068
13.1,13000,216.65,16510.1,0.265481,295.068
13.2,13100,216.65,16251.8,0.261327,295.068
13.3,13200,216.65,15997.5,0.257239,295.068
13.4,13300,216.65,15747.2,0.253214,295.068
13.5,13400,216.65,15500.9,0.249252,295.068
13.6,13500,216.65,15258.3,0.245353,295.068
13.7,13600,216.65,15019.6,0.241514,295.068
13.8,13700,216.65,14784.6,0.237736,295.068
13.9,13800,216.65,14553.3,0.234016,295.068
14,13900,216.65,14325.6,0.230355,295.068
14.1,14000,216.65,14101.5,0.226751,295.068
14.2,14100,216.65,13880.9,0.223203,295.068
14.3,14200,216.65,13663.7,0.219711,295.068
14.4,14300,216.65,13449.9,0.216274,295.068
14.5,14400,216.65,13239.5,0.21289,295.068
14.6,14500,216.65,13032.4,0.209559,295.068
14.7,14600,216.65,12828.5,0.206281,295.068
14.8,14700,216.65,12627.8,0.203053,295.068
14.9,14800,216.65,12430.2,0.199877,295.068
15,14900,216.65,12235.7,0.196749,295.068
15.1,15000,216.65,12044.3,0.193671,295.068
15.2,15100,216.65,11855.9,0.190641,295.068
15.3,15200,216.65,11670.4,0.187659,295.068
15.4,15300,216.65,11487.8,0.184723,295.068
15.5,15400,216.65,11308.1,0.181833,295.068
15.6,15500,216.65,11131.1,0.178988,295.068
15.7,15600,216.65,10957,0.176187,295.068
15.8,15700,216.65,10785.6,0.173431,295.068
15.9,15800,216.65,10616.8,0.170717,295.068
16,15900,216.65,10450.7,0.168047,295.068
16.1,16000,216.65,10287.2,0.165417,295.068
16.2,16100,216.65,10126.3,0.162829,295.068
16.3,16200,216.65,9967.83,0.160282,295.068
16.4,16300,216.65,9811.88,0.157774,295.068
16.5,16400,216.65,9658.37,0.155306,295.068
16.6,16500,216.65,9507.26,0.152876,295.068
16.7,16600,216.65,9358.52,0.150484,295.068
16.8,16700,216.65,9212.1,0.14813,295.068
16.9,16800,216.65,9067.98,0.145812,295.068
17,16900,216.65,8926.1,0.143531,295.068
17.1,17000,216.65,8786.45,0.141285,295.068
17.2,17100,216.65,8648.99,0.139075,295.068
17.3,17200,216.65,8513.67,0.136899,295.068
17.4,17300,216.65,8380.47,0.134757,295.068
17.5,17400,216.65,8249.35,0.132649,295.068
17.6,17500,216.65,8120.29,0.130574,295.068
17.7,17600,216.65,7993.25,0.128531,295.068
17.8,17700,216.65,7868.19,0.12652,295.068
17.9,17800,216.65,7745.09,0.12454,295.068
18,17900,216.65,7623.91,0.122592,295.068
18.1,18000,216.65,7504.64,0.120674,295.068
18.2,18100,216.65,7387.22,0.118786,295.068
18.3,18200,216.65,7271.65,0.116927,295.068
18.4,18300,216.65,7157.88,0.115098,295.068
18.5,18400,216.65,7045.89,0.113297,295.068
18.6,18500,216.65,6935.66,0.111525,295.068
18.7,18600,216.65,6827.15,0.10978,295.068
18.8,18700,216.65,6720.33,0.108062,295.068
18.9,18800,216.65,6615.19,0.106372,295.068
19,18900,216.65,6511.7,0.104708,295.068
19.1,19000,216.65,6409.82,0.103069,295.068
19.2,19100,216.65,6309.53,0.101457,295.068
19.3,19200,216.65,6210.82,0.0998694,295.068
19.4,19300,216.65,6113.65,0.098307,295.068
19.5,19400,216.65,6018,0.0967689,295.068
19.6,19500,216.65,5923.85,0.0952549,295.068
19.7,19600,216.65,5831.16,0.0937646,295.068
19.8,19700,216.65,5739.93,0.0922977,295.068
19.9,19800,216.65,5650.13,0.0908536,295.068
20,19900,216.65,5561.73,0.0894322,295.068
20.1,20000,216.65,5474.72,0.088033,295.068
20.2,20100,216.65,5389.06,0.0866557,295.068
20.3,20200,216.65,5304.75,0.0852999,295.068
20.4,20300,216.65,5221.76,0.0839654,295.068
20.5,20400,216.65,5140.06,0.0826517,295.068
20.6,20500,216.65,5059.64,0.0813586,295.068
20.7,20600,216.65,4980.48,0.0800857,295.068
20.8,20700,216.65,4902.56,0.0788328,295.068
20.9,20800,216.65,4825.86,0.0775994,295.068
21,20900,216.65,4750.36,0.0763853,295.068
21.1,21000,216.65,4676.04,0.0751903,295.068
21.2,21100,216.65,4602.88,0.0740139,295.068
21.3,21200,216.65,4530.86,0.0728559,295.068
21.4,21300,216.65,4459.98,0.0717161,295.068
21.5,21400,216.65,4390.2,0.070594,295.068
21.6,21500,216.65,4321.51,0.0694896,295.068
21.7,21600,216.65,4253.9,0.0684024,295.068
