time,Speed_Setpoint,DC_Motor,Control_Signal,Error
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,0,0,0,0
0.12,0,0,0,0
0.13,0,0,0,0
0.14,0,0,0,0
0.15,0,0,0,0
0.16,0,0,0,0
0.17,0,0,0,0
0.18,0,0,0,0
0.19,0,0,0,0
0.2,0,0,0,0
0.21,0,0,0,0
0.22,0,0,0,0
0.23,0,0,0,0
0.24,0,0,0,0
0.25,0,0,0,0
0.26,0,0,0,0
0.27,0,0,0,0
0.28,0,0,0,0
0.29,0,0,0,0
0.3,0,0,0,0
0.31,0,0,0,0
0.32,0,0,0,0
0.33,0,0,0,0
0.34,0,0,0,0
0.35,0,0,0,0
0.36,0,0,0,0
0.37,0,0,0,0
0.38,0,0,0,0
0.39,0,0,0,0
0.4,0,0,0,0
0.41,0,0,0,0
0.42,0,0,0,0
0.43,0,0,0,0
0.44,0,0,0,0
0.45,0,0,0,0
0.46,0,0,0,0
0.47,0,0,0,0
0.48,0,0,0,0
0.49,0,0,0,0
0.5,0,0,0,0
0.51,0,0,0,0
0.52,0,0,0,0
0.53,0,0,0,0
0.54,0,0,0,0
0.55,0,0,0,0
0.56,0,0,0,0
0.57,0,0,0,0
0.58,0,0,0,0
0.59,0,0,0,0
0.6,0,0,0,0
0.61,0,0,0,0
0.62,0,0,0,0
0.63,0,0,0,0
0.64,0,0,0,0
0.65,0,0,0,0
0.66,0,0,0,0
0.67,0,0,0,0
0.68,0,0,0,0
0.69,0,0,0,0
0.7,0,0,0,0
0.71,0,0,0,0
0.72,0,0,0,0
0.73,0,0,0,0
0.74,0,0,0,0
0.75,0,0,0,0
0.76,0,0,0,0
0.77,0,0,0,0
0.78,0,0,0,0
0.79,0,0,0,0
0.8,0,0,0,0
0.81,0,0,0,0
0.82,0,0,0,0
0.83,0,0,0,0
0.84,0,0,0,0
0.85,0,0,0,0
0.86,0,0,0,0
0.87,0,0,0,0
0.88,0,0,0,0
0.89,0,0,0,0
0.9,0,0,0,0
0.91,0,0,0,0
0.92,0,0,0,0
0.93,0,0,0,0
0.94,0,0,0,0
0.95,0,0,0,0
0.96,0,0,0,0
0.97,0,0,0,0
0.98,0,0,0,0
0.99,0,0,0,0
1,0,0,0,0
1.01,1,0,1,1
1.02,1,0.09901,1,0.9505
1.03,1,0.196056,1,0.852474
1.04,1,0.291181,1,0.756388
1.05,1,0.384557,0.815816,0.669002
1.06,1,0.433119,0.580198,0.602969
1.07,1,0.483886,0.643481,0.558064
1.08,1,0.534152,0.696378,0.504917
1.09,1,0.573935,0.593857,0.459391
1.1,1,0.614014,0.557089,0.422327
1.11,1,0.650287,0.568584,0.384853
1.12,1,0.68023,0.539594,0.352026
1.13,1,0.709142,0.517792,0.324045
1.14,1,0.735841,0.512341,0.297377
1.15,1,0.758845,0.499,0.273539
1.16,1,0.78014,0.48947,0.252769
1.17,1,0.799782,0.48613,0.233645
1.18,1,0.817263,0.481073,0.216458
1.19,1,0.83327,0.478399,0.201284
1.2,1,0.847978,0.479256,0.187556
1.21,1,0.86129,0.480582,0.175251
1.22,1,0.873495,0.483554,0.164345
1.23,1,0.884732,0.488824,0.154585
1.24,1,0.895025,0.495322,0.145892
1.25,1,0.90452,0.503319,0.138213
1.26,1,0.913322,0.513102,0.131417
1.27,1,0.921481,0.524329,0.125433
1.28,1,0.929087,0.537072,0.120208
1.29,1,0.936215,0.55146,0.115664
1.3,1,0.942917,0.567408,0.111748
1.31,1,0.949254,0.584956,0.108415
1.32,1,0.955283,0.60419,0.105619
1.33,1,0.961049,0.625122,0.10332
1.34,1,0.966597,0.647808,0.101487
1.35,1,0.971971,0.67233,0.100088
1.36,1,0.977208,0.698749,0.0990976
1.37,1,0.982346,0.727146,0.0984947
1.38,1,0.98742,0.757618,0.0982599
1.39,1,0.992461,0.790259,0.0983774
1.4,1,0.997501,0.825177,0.0988344
1.41,1,1.00257,0.862492,0.0996204
1.42,1,1.00769,0.902331,0.100728
1.43,1,1.01291,0.944829,0.102151
1.44,1,1.0159,0.990136,0.103886
1.45,1,1.01559,1,0.106692
1.46,1,1.01395,1,0.110301
1.47,1,1.01123,1,0.113182
1.48,1,1.00851,1,0.115671
1.49,1,1.00619,1,0.117585
1.5,1,1.00435,1,0.119114
1.51,1,1.00286,1,0.12037
1.52,1,1.00163,1,0.121446
1.53,1,1.00057,1,0.122381
1.54,1,0.99966,1,0.123192
1.55,1,0.99887,1,0.123886
1.56,1,0.998194,1,0.124473
1.57,1,0.997623,1,0.124962
1.58,1,0.997147,1,0.125364
1.59,1,0.996756,1,0.125687
1.6,1,0.996441,1,0.125942
1.61,1,0.996192,1,0.126137
1.62,1,0.996002,1,0.126277
1.63,1,0.995865,1,0.12637
