time,Reference,Plant_G_s_,Uncompensated,Compensator_Output
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,0,0,0,0
0.12,0,0,0,0
0.13,0,0,0,0
0.14,0,0,0,0
0.15,0,0,0,0
0.16,0,0,0,0
0.17,0,0,0,0
0.18,0,0,0,0
0.19,0,0,0,0
0.2,0,0,0,0
0.21,0,0,0,0
0.22,0,0,0,0
0.23,0,0,0,0
0.24,0,0,0,0
0.25,0,0,0,0
0.26,0,0,0,0
0.27,0,0,0,0
0.28,0,0,0,0
0.29,0,0,0,0
0.3,0,0,0,0
0.31,0,0,0,0
0.32,0,0,0,0
0.33,0,0,0,0
0.34,0,0,0,0
0.35,0,0,0,0
0.36,0,0,0,0
0.37,0,0,0,0
0.38,0,0,0,0
0.39,0,0,0,0
0.4,0,0,0,0
0.41,0,0,0,0
0.42,0,0,0,0
0.43,0,0,0,0
0.44,0,0,0,0
0.45,0,0,0,0
0.46,0,0,0,0
0.47,0,0,0,0
0.48,0,0,0,0
0.49,0,0,0,0
0.5,0,0,0,0
0.51,0,0,0,0
0.52,0,0,0,0
0.53,0,0,0,0
0.54,0,0,0,0
0.55,0,0,0,0
0.56,0,0,0,0
0.57,0,0,0,0
0.58,0,0,0,0
0.59,0,0,0,0
0.6,0,0,0,0
0.61,0,0,0,0
0.62,0,0,0,0
0.63,0,0,0,0
0.64,0,0,0,0
0.65,0,0,0,0
0.66,0,0,0,0
0.67,0,0,0,0
0.68,0,0,0,0
0.69,0,0,0,0
0.7,0,0,0,0
0.71,0,0,0,0
0.72,0,0,0,0
0.73,0,0,0,0
0.74,0,0,0,0
0.75,0,0,0,0
0.76,0,0,0,0
0.77,0,0,0,0
0.78,0,0,0,0
0.79,0,0,0,0
0.8,0,0,0,0
0.81,0,0,0,0
0.82,0,0,0,0
0.83,0,0,0,0
0.84,0,0,0,0
0.85,0,0,0,0
0.86,0,0,0,0
0.87,0,0,0,0
0.88,0,0,0,0
0.89,0,0,0,0
0.9,0,0,0,0
0.91,0,0,0,0
0.92,0,0,0,0
0.93,0,0,0,0
0.94,0,0,0,0
0.95,0,0,0,0
0.96,0,0,0,0
0.97,0,0,0,0
0.98,0,0,0,0
0.99,0,0,0,0
1,0,0,0,0
1.01,1,0,5e-05,1
1.02,1,6.60012e-05,0.000164514,0.999992
1.03,1,0.00022986,0.000392414,0.999876
1.04,1,0.000489447,0.000714769,0.999664
1.05,1,0.000842821,0.00112968,0.999357
1.06,1,0.00128806,0.00163526,0.998957
1.07,1,0.00182327,0.00222968,0.998467
1.08,1,0.00244657,0.00291111,0.997887
1.09,1,0.00315609,0.00367777,0.99722
1.1,1,0.00394999,0.00452789,0.996468
1.11,1,0.00482646,0.00545973,0.995632
1.12,1,0.00578368,0.00647158,0.994715
1.13,1,0.00681988,0.00756177,0.993718
1.14,1,0.0079333,0.00872862,0.992642
1.15,1,0.00912218,0.00997051,0.991491
1.16,1,0.0103848,0.0112858,0.990265
1.17,1,0.0117195,0.012673,0.988966
1.18,1,0.0131245,0.0141304,0.987595
1.19,1,0.0145982,0.0156566,0.986156
1.2,1,0.016139,0.0172501,0.984648
1.21,1,0.0177452,0.0189092,0.983074
1.22,1,0.0194151,0.0206327,0.981436
1.23,1,0.0211473,0.022419,0.979734
1.24,1,0.0229402,0.0242667,0.977971
1.25,1,0.0247921,0.0261744,0.976148
1.26,1,0.0267016,0.0281408,0.974267
1.27,1,0.0286672,0.0301644,0.972329
1.28,1,0.0306873,0.032244,0.970336
1.29,1,0.0327605,0.0343782,0.968289
1.3,1,0.0348853,0.0365658,0.96619
1.31,1,0.0370603,0.0388054,0.96404
1.32,1,0.039284,0.0410959,0.96184
1.33,1,0.0415551,0.0434359,0.959592
1.34,1,0.0438722,0.0458243,0.957298
1.35,1,0.0462339,0.0482599,0.954958
1.36,1,0.0486388,0.0507415,0.952574
1.37,1,0.0510857,0.0532679,0.950148
1.38,1,0.0535732,0.055838,0.947681
1.39,1,0.0561,0.0584508,0.945173
1.4,1,0.0586649,0.061105,0.942627
1.41,1,0.0612666,0.0637996,0.940043
1.42,1,0.0639038,0.0665335,0.937424
1.43,1,0.0665754,0.0693057,0.934769
1.44,1,0.06928,0.0721152,0.93208
1.45,1,0.0720166,0.0749609,0.92936
1.46,1,0.074784,0.0778418,0.926607
1.47,1,0.0775809,0.080757,0.923825
1.48,1,0.0804064,0.0837055,0.921013
1.49,1,0.0832591,0.0866863,0.918174
1.5,1,0.0861382,0.0896985,0.915308
1.51,1,0.0890423,0.0927412,0.912416
1.52,1,0.0919706,0.0958134,0.909499
1.53,1,0.0949219,0.0989144,0.906559
1.54,1,0.0978952,0.102043,0.903597
1.55,1,0.100889,0.105199,0.900613
