time,Time_Domain,Frequency_Spectrum
0,0,0
0.001,0,0
0.002,0.141008,0.141008
0.003,0.279842,0.279842
0.004,0.414377,0.414377
0.005,0.542583,0.542583
0.006,0.66257,0.66257
0.007,0.772633,0.772633
0.008,0.871283,0.871283
0.009,0.957282,0.957282
0.01,1.02967,1.02967
0.011,1.08779,1.08779
0.012,1.13127,1.13127
0.013,1.16008,1.16008
0.014,1.17447,1.17447
0.015,1.17502,1.17502
0.016,1.16257,1.16257
0.017,1.13822,1.13822
0.018,1.1033,1.1033
0.019,1.05934,1.05934
0.02,1.00799,1.00799
0.021,0.951057,0.951057
0.022,0.890366,0.890366
0.023,0.827779,0.827779
0.024,0.765119,0.765119
0.025,0.704134,0.704134
0.026,0.646447,0.646447
0.027,0.593518,0.593518
0.028,0.546611,0.546611
0.029,0.506759,0.506759
0.03,0.474739,0.474739
0.031,0.451057,0.451057
0.032,0.435932,0.435932
0.033,0.429299,0.429299
0.034,0.430803,0.430803
0.035,0.439819,0.439819
0.036,0.455464,0.455464
0.037,0.476621,0.476621
0.038,0.501973,0.501973
0.039,0.530039,0.530039
0.04,0.559207,0.559207
0.041,0.587785,0.587785
0.042,0.614044,0.614044
0.043,0.636262,0.636262
0.044,0.652775,0.652775
0.045,0.662017,0.662017
0.046,0.66257,0.66257
0.047,0.653198,0.653198
0.048,0.632885,0.632885
0.049,0.600861,0.600861
0.05,0.556635,0.556635
0.051,0.5,0.5
0.052,0.431054,0.431054
0.053,0.350195,0.350195
0.054,0.258122,0.258122
0.055,0.155819,0.155819
0.056,0.0445364,0.0445364
0.057,-0.0742319,-0.0742319
0.058,-0.198784,-0.198784
0.059,-0.327245,-0.327245
0.06,-0.45761,-0.45761
0.061,-0.587785,-0.587785
0.062,-0.715641,-0.715641
0.063,-0.839056,-0.839056
0.064,-0.955964,-0.955964
0.065,-1.06441,-1.06441
0.066,-1.16257,-1.16257
0.067,-1.24884,-1.24884
0.068,-1.32181,-1.32181
0.069,-1.38036,-1.38036
0.07,-1.42362,-1.42362
0.071,-1.45106,-1.45106
0.072,-1.46243,-1.46243
0.073,-1.45782,-1.45782
0.074,-1.43762,-1.43762
0.075,-1.40254,-1.40254
0.076,-1.35355,-1.35355
0.077,-1.29192,-1.29192
0.078,-1.21911,-1.21911
0.079,-1.1368,-1.1368
0.08,-1.0468,-1.0468
0.081,-0.951057,-0.951057
0.082,-0.851559,-0.851559
0.083,-0.750319,-0.750319
0.084,-0.649311,-0.649311
0.085,-0.550435,-0.550435
0.086,-0.455464,-0.455464
0.087,-0.366005,-0.366005
0.088,-0.283465,-0.283465
0.089,-0.209019,-0.209019
0.09,-0.14358,-0.14358
0.091,-0.0877853,-0.0877853
