time,Message__1_Hz_,Carrier__20_Hz_,AM_Signal
0,0,0,0
0.001,0,0,0
0.002,0.00502652,0.125333,0.125333
0.003,0.0100528,0.24869,0.24869
0.004,0.0150788,0.368125,0.368125
0.005,0.0201041,0.481754,0.481754
0.006,0.0251286,0.587785,0.587785
0.007,0.0301521,0.684547,0.684547
0.008,0.0351745,0.770513,0.770513
0.009,0.0401955,0.844328,0.844328
0.01,0.0452148,0.904827,0.904827
0.011,0.0502324,0.951057,0.951057
0.012,0.055248,0.982287,0.982287
0.013,0.0602614,0.998027,0.998027
0.014,0.0652725,0.998027,0.998027
0.015,0.070281,0.982287,0.982287
0.016,0.0752867,0.951057,0.951057
0.017,0.0802894,0.904827,0.904827
0.018,0.0852889,0.844328,0.844328
0.019,0.0902851,0.770513,0.770513
0.02,0.0952777,0.684547,0.684547
0.021,0.100267,0.587785,0.587785
0.022,0.105251,0.481754,0.481754
0.023,0.110232,0.368125,0.368125
0.024,0.115209,0.24869,0.24869
0.025,0.12018,0.125333,0.125333
0.026,0.125148,-1.65389e-15,-1.65389e-15
0.027,0.13011,-0.125333,-0.125333
0.028,0.135067,-0.24869,-0.24869
0.029,0.140018,-0.368125,-0.368125
0.03,0.144965,-0.481754,-0.481754
0.031,0.149905,-0.587785,-0.587785
0.032,0.15484,-0.684547,-0.684547
0.033,0.159768,-0.770513,-0.770513
0.034,0.16469,-0.844328,-0.844328
0.035,0.169606,-0.904827,-0.904827
0.036,0.174515,-0.951057,-0.951057
0.037,0.179417,-0.982287,-0.982287
0.038,0.184312,-0.998027,-0.998027
0.039,0.189199,-0.998027,-0.998027
0.04,0.194079,-0.982287,-0.982287
0.041,0.198952,-0.951057,-0.951057
0.042,0.203817,-0.904827,-0.904827
0.043,0.208673,-0.844328,-0.844328
0.044,0.213522,-0.770513,-0.770513
0.045,0.218362,-0.684547,-0.684547
0.046,0.223193,-0.587785,-0.587785
0.047,0.228015,-0.481754,-0.481754
0.048,0.232829,-0.368125,-0.368125
0.049,0.237633,-0.24869,-0.24869
0.05,0.242428,-0.125333,-0.125333
0.051,0.247214,4.19596e-15,4.19596e-15
0.052,0.251989,0.125333,0.125333
0.053,0.256755,0.24869,0.24869
0.054,0.26151,0.368125,0.368125
0.055,0.266256,0.481754,0.481754
0.056,0.27099,0.587785,0.587785
0.057,0.275714,0.684547,0.684547
0.058,0.280427,0.770513,0.770513
0.059,0.28513,0.844328,0.844328
0.06,0.28982,0.904827,0.904827
0.061,0.2945,0.951057,0.951057
0.062,0.299167,0.982287,0.982287
0.063,0.303823,0.998027,0.998027
0.064,0.308467,0.998027,0.998027
0.065,0.313099,0.982287,0.982287
0.066,0.317718,0.951057,0.951057
0.067,0.322325,0.904827,0.904827
0.068,0.326919,0.844328,0.844328
0.069,0.3315,0.770513,0.770513
0.07,0.336069,0.684547,0.684547
0.071,0.340623,0.587785,0.587785
0.072,0.345165,0.481754,0.481754
0.073,0.349693,0.368125,0.368125
0.074,0.354207,0.24869,0.24869
0.075,0.358707,0.125333,0.125333
0.076,0.363192,-6.73803e-15,-6.73803e-15
0.077,0.367664,-0.125333,-0.125333
0.078,0.372121,-0.24869,-0.24869
0.079,0.376563,-0.368125,-0.368125
0.08,0.380991,-0.481754,-0.481754
0.081,0.385403,-0.587785,-0.587785
0.082,0.3898,-0.684547,-0.684547
0.083,0.394182,-0.770513,-0.770513
0.084,0.398548,-0.844328,-0.844328
0.085,0.402899,-0.904827,-0.904827
0.086,0.407233,-0.951057,-0.951057
0.087,0.411552,-0.982287,-0.982287
0.088,0.415854,-0.998027,-0.998027
0.089,0.42014,-0.998027,-0.998027
0.09,0.424409,-0.982287,-0.982287
0.091,0.428661,-0.951057,-0.951057
0.092,0.432897,-0.904827,-0.904827
0.093,0.437115,-0.844328,-0.844328
0.094,0.441317,-0.770513,-0.770513
0.095,0.4455,-0.684547,-0.684547
0.096,0.449667,-0.587785,-0.587785
0.097,0.453815,-0.481754,-0.481754
0.098,0.457946,-0.368125,-0.368125
0.099,0.462058,-0.24869,-0.24869
0.1,0.466152,-0.125333,-0.125333
0.101,0.470228,8.39193e-15,8.39193e-15
0.102,0.474285,0.125333,0.125333
0.103,0.478324,0.24869,0.24869
0.104,0.482344,0.368125,0.368125
